place,state,country,all_minimums_repealed,status,policy_change,scope,land_uses,reform_date,population,lat,long,url,reporter,summary
29 Palms,CA,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,2018-03-27,28158,34.1356915,-116.0543506,https://parkingreform.org/mandates-map/city_detail/29Palms_CA.html,Ellen Schwartz,General Commercial and Public zoned areas in the Downtown Commercial Core are exempt from parking mandates.
Abbottstown,PA,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",citywide,"all uses,commercial,industrial,other,residential, multi-family",,1022,39.8864869,-76.9847013,https://parkingreform.org/mandates-map/city_detail/Abbottstown_PA.html,Samuel Deetz,"Parking requirements may be reduced through on-street parking, public parking and proximity to transit. Parking maximums are set at 110% of the minimums for nonresidential uses."
Aberdeen,MS,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,4961,33.8251139,-88.5436553,https://parkingreform.org/mandates-map/city_detail/Aberdeen_MS.html,Samuel Deetz,The C-1 Central Commercial District is exempt from parking mandates.
Aberdeen,SD,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,28324,45.4649805,-98.487813,https://parkingreform.org/mandates-map/city_detail/Aberdeen_SD.html,Samuel Deetz,Non-residential uses in the C-3 central business district are exempt from minimum parking requirements.
Abilene,KS,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,6460,38.917252,-97.21377,https://parkingreform.org/mandates-map/city_detail/Abilene_KS.html,Samuel Deetz,No off-street parking facilities are required in the C-4 Central Business District.
Abilene,TX,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,,125182,32.44645,-99.7475905,https://parkingreform.org/mandates-map/city_detail/Abilene_TX.html,Samuel Deetz,Existing buildings within the Central Business (CB) district are exempt from parking requirements. On-street parking may count towards minimums for new development in the district.
Ackley,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1599,42.5539454,-93.0526788,https://parkingreform.org/mandates-map/city_detail/Ackley_IA.html,Samuel Deetz,The C-2 Central Business Commercial District is exempt from minimum parking requirements.
Ada Township,MI,United States,FALSE,implemented,add parking maximums,citywide,all uses,,14388,42.9593729,-85.4961581,https://parkingreform.org/mandates-map/city_detail/AdaTownship_MI.html,Samuel Deetz,Parking maximums are set at 125% of the minimums.
Ada,OH,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,2002-01-15,5334,40.77134,-83.823192,https://parkingreform.org/mandates-map/city_detail/Ada_OH.html,Samuel Deetz,Commercial uses in the downtown commercial (C-1) area (North and South Main Street from Lehr Avenue to Highland Avenue) are exempt from parking mandates.
Ada,OK,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,16481,34.7743383,-96.6783651,https://parkingreform.org/mandates-map/city_detail/Ada_OK.html,Samuel Deetz,"The following area is exempt from off-street automobile parking requirements: Blocks 82, 83, 84, 90, 91, 92, 93, 96, 97, 98, 99, 100, 104, 105, 106 and 107, all in the original townsite of the city. "
