"city","state","country","report_summary","report_status","report_type","report_magnitude","land_uses","reporter_name","date_of_reform","last_updated","is_verified","is_magnitude_regional","is_magnitude_citywide","is_magnitude_citycenter","is_magnitude_transit","is_magnitude_mainstreet","is_type_eliminated","is_type_reduced","is_type_maximums","is_uses_alluses","is_uses_residential","is_uses_commercial","is_uses_lowdensity","is_uses_multifamily","is_no_mandate_city","population","is_notable","is_recent","citation_url","lat","long","id","magnitude_encoded","border_encoded","land_use_encoded","population_encoded","city_search","is_special"
"29 Palms","CA","US","General Commercial and Public zoned areas in the Downtown Commercial Core are exempt from parking mandates.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Ellen Schwartz","Mar 27, 2018","January 1, 2024, 1:57:45 PM PST",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,28158,"false","false","https://parkingreform.org/mandates-map/city_detail/29Palms_CA.html",34.1356915,-116.0543506,"29 PalmsCAUS","City Center","City Center","building",0.2,"29 Palms, CA","not_special_icon"
"Abbottstown","PA","US","Parking requirements may be reduced through on-street parking, public parking and proximity to transit. Parking maximums are set at 110% of the minimums for nonresidential uses.","Implemented","Reduce Parking Minimums, Parking Maximums","Citywide","Commercial, Other, Industrial, Multi-Family Residential, All Uses","Samuel Deetz","","June 12, 2024, 9:28:35 AM PDT",0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1022,"false","false","https://parkingreform.org/mandates-map/city_detail/Abbottstown_PA.html",39.8864869,-76.9847013,"AbbottstownPAUS","Citywide","Citywide All","city",0.2,"Abbottstown, PA","not_special_icon"
"Aberdeen","SD","US","Non-residential uses in the C-3 central business district are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:06 AM PST",1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,28324,"false","false","https://parkingreform.org/mandates-map/city_detail/Aberdeen_SD.html",45.4649805,-98.487813,"AberdeenSDUS","City Center","City Center","building",0.2,"Aberdeen, SD","not_special_icon"
"Aberdeen","MS","US","The C-1 Central Commercial District is exempt from parking mandates.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","April 2, 2024, 3:37:42 PM PDT",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4961,"false","false","https://parkingreform.org/mandates-map/city_detail/Aberdeen_MS.html",33.8251139,-88.5436553,"AberdeenMSUS","City Center","City Center All","city",0.2,"Aberdeen, MS","not_special_icon"
"Abilene","KS","US","No off-street parking facilities are required in the C-4 Central Business District.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:09 AM PST",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6460,"false","false","https://parkingreform.org/mandates-map/city_detail/Abilene_KS.html",38.917252,-97.21377,"AbileneKSUS","City Center","City Center All","city",0.2,"Abilene, KS","not_special_icon"
"Abilene","TX","US","Existing buildings within the Central Business (CB) district are exempt from parking requirements. On-street parking may count towards minimums for new development in the district.","Implemented","Reduce Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","February 22, 2024, 2:24:55 PM PST",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,125182,"false","false","https://parkingreform.org/mandates-map/city_detail/Abilene_TX.html",32.44645,-99.7475905,"AbileneTXUS","City Center","City Center All","city",0.4,"Abilene, TX","not_special_icon"
"Ackley","IA","US","The C-2 Central Business Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:16 AM PST",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1599,"false","false","https://parkingreform.org/mandates-map/city_detail/Ackley_IA.html",42.5539454,-93.0526788,"AckleyIAUS","City Center","City Center All","city",0.2,"Ackley, IA","not_special_icon"
"Ada","OK","US","The following area is exempt from off-street automobile parking requirements: Blocks 82, 83, 84, 90, 91, 92, 93, 96, 97, 98, 99, 100, 104, 105, 106 and 107, all in the original townsite of the city. ","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:10 AM PST",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,16481,"false","false","https://parkingreform.org/mandates-map/city_detail/Ada_OK.html",34.7743383,-96.6783651,"AdaOKUS","City Center","City Center All","city",0.2,"Ada, OK","not_special_icon"
"Ada","OH","US","Commercial uses in the downtown commercial (C-1) area (North and South Main Street from Lehr Avenue to Highland Avenue) are exempt from parking mandates.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","Jan 15, 2002","June 5, 2024, 11:11:18 AM PDT",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5334,"false","false","https://parkingreform.org/mandates-map/city_detail/Ada_OH.html",38.8398935,-83.5051704,"AdaOHUS","City Center","City Center","building",0.2,"Ada, OH","not_special_icon"
"Adrian","MI","US","The B-3 Central Business District is exempt from parking mandates. Parking maximums are set at 120% of the minimums.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","All Uses","Samuel Deetz","","March 31, 2024, 11:48:01 AM PDT",0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,20645,"false","false","https://parkingreform.org/mandates-map/city_detail/Adrian_MI.html",41.8975152,-84.0373054,"AdrianMIUS","City Center","City Center All","city",0.2,"Adrian, MI","not_special_icon"
"Aiken","SC","US","Off-street parking is not required for uses located in the Central Business District of the DB Zone District. In addition, off-street parking is not required for religious institutions located in any Historic District listed on the Aiken Historic Register.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:07 AM PST",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,32025,"false","false","https://parkingreform.org/mandates-map/city_detail/Aiken_SC.html",33.5598586,-81.721952,"AikenSCUS","City Center","City Center All","city",0.2,"Aiken, SC","not_special_icon"
"Aitkin","MN","US","Commercial developments within the Downtown Mixed Use District are exempt from the parking requirements. Surface parking may not exceed 125% of the minimum parking requirements within the DMU District.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Samuel Deetz","","December 28, 2023, 5:04:18 PM PST",0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2168,"false","false","https://parkingreform.org/mandates-map/city_detail/Aitkin_MN.html",46.5333985,-93.7096936,"AitkinMNUS","City Center","City Center","building",0.2,"Aitkin, MN","not_special_icon"
"Akron","OH","US","Akron Ohio has no minimum requirements for parking for residential or commercial parking downtown.  Maximum allowed is one space per residence.","Implemented","Parking Maximums, Eliminate Parking Minimums","City Center/Business District","All Uses","Jason Segedy","","November 28, 2023, 11:47:03 AM PST",1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,197597,"","","https://parkingreform.org/mandates-map/city_detail/Akron_OH.html",41.083064,-81.518485,"AkronOHUS","City Center","City Center All","city",0.4,"Akron, OH","not_special_icon"
"Akron","IA","US","The CBD Central Business District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:10 AM PST",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1558,"false","false","https://parkingreform.org/mandates-map/city_detail/Akron_IA.html",42.8288056,-96.5579415,"AkronIAUS","City Center","City Center All","city",0.2,"Akron, IA","not_special_icon"
"Akron","CO","US","Parking mandates only apply to apartments in the C Residence District, the E Industrial District, and to mobile homes.","Implemented","Eliminate Parking Minimums","Citywide","Commercial, Industrial, Low Density (SF) Residential, Other","Samuel Deetz","","April 4, 2024, 10:42:02 AM PDT",0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1757,"false","false","https://parkingreform.org/mandates-map/city_detail/Akron_CO.html",40.1605374,-103.214384,"AkronCOUS","Citywide","Citywide","laptop",0.2,"Akron, CO","not_special_icon"
"Alameda","CA","US","Effective 12/16/2021, Alameda has repealed parking requirements for all uses, citywide, and implemented maximums.","Implemented","Eliminate Parking Minimums, Parking Maximums","Citywide","All Uses","John Knox White","Dec 16, 2021","November 28, 2023, 11:47:04 AM PST",1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,78280,"false","false","https://parkingreform.org/mandates-map/city_detail/Alameda_CA.html",37.7652076,-122.2416355,"AlamedaCAUS","Citywide","Citywide All","city",0.2,"Alameda, CA","not_special_icon"
"Alameda County","CA","US","The Ashland and Cherryland Business District Specific Plan regulates a 246-acre area along two major streets in unincorporated Alameda County. Within the plan area, there are no minimum parking requirements for restaurants and small retail establishments. In most zones within the plan area, there are also no minimum requirements for offices, “general commercial”, gas stations, car washes, and automobile sales, rental, and repair establishments. For land uses where minimum parking requirements still apply, the requirements are generally lower than the County’s standard requirements. The plan sets maximum parking requirements for most land uses. At many residential developments, the plan also requires the unbundling of parking costs and the provision of designated spaces for carshare cars.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Patrick Siegman","","November 28, 2023, 11:47:04 AM PST",1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1682353,"false","false","https://parkingreform.org/mandates-map/city_detail/AlamedaCounty_CA.html",37.5943781,-121.8885683,"Alameda CountyCAUS","City Center","City Center","building",1,"Alameda County, CA","not_special_icon"
"Albany","MN","US","The C-1 Core Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:08 AM PST",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2780,"false","false","https://parkingreform.org/mandates-map/city_detail/Albany_MN.html",45.6299647,-94.5700048,"AlbanyMNUS","City Center","City Center All","city",0.2,"Albany, MN","not_special_icon"
"Albany","WI","US","Areas which are located within the fire zone as designated on the Official Map are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:12 AM PST",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1096,"false","false","https://parkingreform.org/mandates-map/city_detail/Albany_WI.html",42.7079729,-89.4368317,"AlbanyWIUS","City Center","City Center All","city",0.2,"Albany, WI","not_special_icon"
"Albany","OR","US","On June 14, 2023  Albany, OR eliminated parking mandates citywide for all uses. Parking maximums apply to all uses. The reforms were instigated by Oregon's statewide reforms. ","Implemented","Eliminate Parking Minimums, Parking Maximums","Citywide","All Uses","Tony Jordan","Jun 14, 2023","May 12, 2024, 8:33:39 AM PDT",0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,56472,"false","false","https://parkingreform.org/mandates-map/city_detail/Albany_OR.html",44.6365071,-123.1059324,"AlbanyORUS","Citywide","Citywide All","city",0.2,"Albany, OR","not_special_icon"
